	Ancyloscelis_sp	Aparatrigona_impunctata	Apis_mellifera	Augochlora_Augochlora_sp13	Augochlora_Augochlora_sp16	Augochlora_aurinasis	Augochlora_Oxystoglossella_sp03	Augochlora_Oxystoglossella_sp04	Augochlorella_sp	Augochloropsis_hebescens	Centris_longimana	Cephalotrigona_capitata	Cephalotrigona_femorata	Ceratina_Ceratinula_sp09	Ceratina_Ceratinula_sp10	Ceratina_Ceratinula_sp11	Ceratina_Crewella_sp08	Ceratina_Crewella_sp09	Ceratina_Crewella_sp10	Ceratina_Crewella_sp11	Ceratina_Crewella_sp14	Eufriesea_superba	Euglossa_Euglossa_sp01	Eulonchopria_limbella	Exaerete_frontalis	Exomalopsis_analis	Exomalopsis_auropilosa	Frieseomelitta_doederleini	Frieseomelitta_flavicornis	Frieseomelitta_longipes	Frieseomelitta_portoi	Geotrigona_mattogrossensis	Geotrigona_subnigra	Megachile_Dactylomegachile_sp02	Melipona_amazonica	Melipona_flavolineata	Melipona_nebulosa	Melipona_puncticollis	Melipona_seminigrapernigra	Nannotrigona_punctata	Nannotrigona_schultzei	Neocorynura_tarpeia	Oxytrigona_ignis	Paratetrapedia_leucostoma	Paratetrapedia_testacea	Paratrigona_crassicornis	Partamona_ailyae	Partamona_vicina	Plebeia_fraterna	Plebeia_goeldiana	Plebeia_minima	Ptilotrigona_lurida	Scaptotrigona_nigrohirta	Scaptotrigona_polysticta	Scaptotrigona_postica	Tetragona_beebei	Tetragona_clavipes	Tetragona_dorsalis	Tetragona_goettei	Tetragona_truncata	Tetragonisca_angustula	Trigona_amalthea	Trigona_chanchamayoensis	Trigona_cilipes	Trigona_dimidiata	Trigona_guianae	Trigona_hypogea	Trigona_lacteipennis	Trigona_pallens	Trigona_recursa	Trigona_truculenta	Trigona_williana	Xenochlora_nigrofemorata	Xylocopa_frontalis
CN07_col_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0
CN07_col_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	2	5	0	1	0	0	0	0	0	0	6	0	0	9	0	0	1	0	0
CN08_col_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0
CN08_col_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	3	0	0	0	0	0	0	0	0
CN09_col_1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	2
CN09_col_2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	0	10	1	0	0	0	0	1	0	1
CN09_col_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0
CN10_col_1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	2	3	0	3	0	0
CN10_col_2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	0	0	0	2	2	4	0	0	2	0	2	4	2	1	0	0	0
CN10_col_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CN11_col_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0
CN11_col_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	3	0	0
CN12_col_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CN12_col_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CN12_col_3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	6	0	1	2	0	0	0	0	0	0	0	0
CN13_col_1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	1	0	0	0	0	2	0	0	0	1	0	0	5	2	0	0	0	0
CN13_col_2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0
CN14_col_1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0
CN14_col_2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	2	0	0	1	0	0	2	0	0	1	0	0	0	0	0
